wl	n
0.4880	2.6918623155652
0.4938	2.6884136656631
0.4995	2.6851556806106
0.5053	2.681967042588
0.5110	2.678951314545
0.5168	2.6759965670376
0.5226	2.6731509274928
0.5283	2.6704553864708
0.5341	2.6678103399497
0.5398	2.6653023896433
0.5456	2.6628391082495
0.5514	2.6604610666861
0.5571	2.6582032240626
0.5629	2.6559826696469
0.5686	2.6538725778672
0.5744	2.6517956316686
0.5802	2.649786339283
0.5859	2.6478747316654
0.5917	2.6459909726405
0.5974	2.6441974663948
0.6032	2.6424288095282
0.6090	2.64071459415
0.6147	2.6390807940877
0.6205	2.6374679780367
0.6262	2.6359298085332
0.6320	2.6344104178901
0.6378	2.6329353720379
0.6435	2.6315272792275
0.6493	2.6301351038421
0.6550	2.6288053373143
0.6608	2.6274898451361
0.6666	2.6262108654155
0.6723	2.6249881937285
0.6781	2.6237776516708
0.6838	2.622619791023
0.6896	2.6214728215096
0.6954	2.6203562071663
0.7011	2.6192873762625
0.7069	2.618227811557
0.7126	2.6172131019629
0.7184	2.6162067156252
0.7242	2.6152257859146
0.7299	2.6142857352583
0.7357	2.6133527651756
0.7414	2.6124582846983
0.7472	2.6115701606109
0.7530	2.6107035539348
0.7587	2.6098721767954
0.7645	2.6090461979827
0.7702	2.6082534803603
0.7760	2.6074656007054
0.7818	2.6066960397202
0.7875	2.6059570425908
0.7933	2.6052221396493
0.7990	2.6045161650408
0.8048	2.6038138482384
0.8106	2.6031272295288
0.8163	2.6024672889164
0.8221	2.60181042527
0.8278	2.6011788699806
0.8336	2.6005500499837
0.8394	2.5999347636926
0.8451	2.5993428942735
0.8509	2.5987533043149
0.8566	2.5981859757473
0.8624	2.5976206579301
0.8682	2.5970670728493
0.8739	2.5965341481513
0.8797	2.596002875051
0.8854	2.5954912810797
0.8912	2.5949811266368
0.8970	2.5944811960352
0.9027	2.593999580715
0.9085	2.5935191210825
0.9142	2.5930561382885
0.9200	2.5925941433841
0.9258	2.5921411000783
0.9315	2.5917043648863
0.9373	2.5912683927928
0.9430	2.5908480082967
0.9488	2.5904282539173
0.9546	2.5900163720886
0.9603	2.5896190708144
0.9661	2.589222221435
0.9718	2.5888393301409
0.9776	2.5884567852921
0.9834	2.5880811927681
0.9891	2.5877186861462
0.9949	2.5873563846659
1.001	2.5869823149981
1.006	2.5866809073793
1.012	2.5863252661157
1.018	2.5859760709001
1.024	2.5856331658567
1.029	2.5853521074526
1.035	2.5850203450714
1.041	2.5846944562483
1.047	2.5843743022706
1.052	2.5841117908347
1.058	2.5838018039648
1.064	2.5834971806865
